Date,Open,High,Low,Close,adj_close,Volume
12/31/1992,2.098214,2.142857,2.098214,2.133929,0.470674,23058000
1/4/1993,2.125,2.142857,2.0625,2.080357,0.458858,32284000
1/5/1993,2.071429,2.116071,2.044643,2.116071,0.466735,46564000
1/6/1993,2.169643,2.214286,2.160714,2.205357,0.486429,70350000
1/7/1993,2.205357,2.232143,2.165179,2.178571,0.480521,68034400
1/8/1993,2.169643,2.25,2.133929,2.223214,0.490367,80234000
1/11/1993,2.214286,2.299107,2.205357,2.290179,0.505137,68432000
1/12/1993,2.241071,2.276786,2.196429,2.196429,0.484459,86539600
1/13/1993,2.196429,2.285714,2.1875,2.267857,0.500214,49910000
1/14/1993,2.285714,2.330357,2.276786,2.321429,0.51203,91952000
1/15/1993,2.178571,2.223214,2.142857,2.151786,0.474613,225657600
1/18/1993,2.125,2.142857,2.071429,2.125,0.468705,83409200
1/19/1993,2.133929,2.160714,2.116071,2.133929,0.470674,68510400
1/20/1993,2.133929,2.151786,2.125,2.142857,0.472643,39684400
1/21/1993,2.133929,2.151786,2.098214,2.142857,0.472643,46104800
1/22/1993,2.151786,2.151786,2.107143,2.125,0.468705,36736000
1/25/1993,2.116071,2.160714,2.116071,2.142857,0.472643,50568000
1/26/1993,2.160714,2.214286,2.160714,2.169643,0.478551,71405600
1/27/1993,2.178571,2.205357,2.098214,2.151786,0.474613,56655200
1/28/1993,2.142857,2.151786,2.116071,2.138393,0.471658,46009600
1/29/1993,2.151786,2.1875,2.107143,2.125,0.468705,66525200
2/1/1993,2.116071,2.1875,2.116071,2.1875,0.48249,60138400
2/2/1993,2.169643,2.196429,2.151786,2.151786,0.474613,45584000
2/3/1993,2.178571,2.178571,2.089286,2.142857,0.472643,66046400
2/4/1993,2.142857,2.151786,2.107143,2.125,0.468705,52038000
2/5/1993,2.116071,2.125,2.008929,2.044643,0.45098,91904400
2/8/1993,2.035714,2.053571,1.982143,2.017857,0.445072,70268800
2/9/1993,2.035714,2.049107,2.017857,2.03125,0.448026,59665200
2/10/1993,2.035714,2.044643,1.964286,1.991071,0.439164,67071200
2/11/1993,1.991071,2.008929,1.964286,1.96875,0.434241,42067200
2/12/1993,1.964286,1.982143,1.919643,1.924107,0.451941,68849200
2/16/1993,1.910714,1.910714,1.839286,1.892857,0.444601,101934000
2/17/1993,1.901786,1.928571,1.857143,1.924107,0.451941,62395200
2/18/1993,1.964286,1.973214,1.910714,1.964286,0.461378,70030800
2/19/1993,1.973214,1.982143,1.955357,1.964286,0.461378,44450000
2/22/1993,1.964286,2,1.955357,1.96875,0.462427,24690400
2/23/1993,1.964286,1.973214,1.928571,1.9375,0.455087,48518400
2/24/1993,1.861607,1.924107,1.861607,1.915179,0.449844,71640800
2/25/1993,1.901786,1.955357,1.901786,1.955357,0.459281,41806800
2/26/1993,1.9375,1.9375,1.866071,1.892857,0.444601,73721200
3/1/1993,1.892857,1.910714,1.883929,1.901786,0.446698,29825600
3/2/1993,1.892857,1.946429,1.892857,1.9375,0.455087,36923600
3/3/1993,1.928571,1.964286,1.901786,1.950893,0.458233,50674400
3/4/1993,1.946429,1.973214,1.910714,1.964286,0.461378,47084800
3/5/1993,1.955357,1.991071,1.955357,1.964286,0.461378,27904800
3/8/1993,1.964286,2.026786,1.964286,2.017857,0.473961,44251200
3/9/1993,2.017857,2.053571,2.017857,2.026786,0.476059,38707200
3/10/1993,2.026786,2.044643,2,2.026786,0.476059,33124000
3/11/1993,2.035714,2.044643,2.008929,2.03125,0.477107,36153600
3/12/1993,2.026786,2.026786,1.982143,2.008929,0.471864,31673600
3/15/1993,2,2.044643,1.977679,2.035714,0.478156,34008800
3/16/1993,2.044643,2.0625,2.017857,2.017857,0.473961,25320400
3/17/1993,2.017857,2.035714,1.964286,1.96875,0.462427,44055200
3/18/1993,1.964286,1.986607,1.946429,1.946429,0.457184,26546800
3/19/1993,1.964286,1.973214,1.910714,1.919643,0.450892,38525200
3/22/1993,1.910714,1.924107,1.883929,1.901786,0.446698,41300000
3/23/1993,1.901786,1.928571,1.879464,1.883929,0.442504,25634000
3/24/1993,1.883929,1.9375,1.875,1.919643,0.450892,35767200
3/25/1993,1.919643,1.955357,1.910714,1.955357,0.459281,42761600
3/26/1993,1.955357,1.955357,1.875,1.901786,0.446698,37940000
3/29/1993,1.866071,1.875,1.8125,1.821429,0.427823,65427600
3/30/1993,1.825893,1.866071,1.794643,1.866071,0.438309,66012800
3/31/1993,1.875,1.883929,1.830357,1.839286,0.432018,55759200
4/1/1993,1.830357,1.857143,1.821429,1.848214,0.434115,27050800
4/2/1993,1.803571,1.830357,1.767857,1.790179,0.420483,63448000
4/5/1993,1.785714,1.803571,1.767857,1.785714,0.419435,37293200
4/6/1993,1.785714,1.794643,1.741071,1.741071,0.408949,42092400
4/7/1993,1.75,1.8125,1.732143,1.803571,0.423629,40712000
4/8/1993,1.785714,1.803571,1.75,1.776786,0.417338,40857600
4/12/1993,1.767857,1.821429,1.767857,1.785714,0.419435,23262400
4/13/1993,1.803571,1.830357,1.723214,1.732143,0.406852,41120800
4/14/1993,1.723214,1.741071,1.700893,1.741071,0.408949,42515200
4/15/1993,1.723214,1.723214,1.669643,1.6875,0.396366,54675600
4/16/1993,1.723214,1.741071,1.691964,1.71875,0.403706,171698800
4/19/1993,1.732143,1.767857,1.723214,1.732143,0.406852,56966000
4/20/1993,1.741071,1.794643,1.723214,1.785714,0.419435,60012400
4/21/1993,1.794643,1.8125,1.758929,1.772321,0.416289,51318400
4/22/1993,1.758929,1.803571,1.75,1.785714,0.419435,39418400
4/23/1993,1.776786,1.794643,1.741071,1.758929,0.413143,33535600
4/26/1993,1.758929,1.776786,1.732143,1.75,0.411046,25701200
4/27/1993,1.741071,1.794643,1.741071,1.794643,0.421532,32418400
4/28/1993,1.776786,1.857143,1.776786,1.834821,0.430969,40810000
4/29/1993,1.839286,1.848214,1.790179,1.8125,0.425726,20610800
4/30/1993,1.8125,1.875,1.8125,1.830357,0.429921,33084800
5/3/1993,1.830357,1.857143,1.821429,1.852679,0.435164,16296000
5/4/1993,1.866071,1.9375,1.857143,1.90625,0.447747,42705600
5/5/1993,1.892857,1.982143,1.892857,1.946429,0.457184,63266000
5/6/1993,1.946429,1.955357,1.910714,1.919643,0.450892,17614800
5/7/1993,1.910714,1.955357,1.910714,1.955357,0.459281,20473600
5/10/1993,1.964286,1.995536,1.964286,1.964286,0.461378,34482000
5/11/1993,1.964286,1.973214,1.928571,1.946429,0.457184,39594800
5/12/1993,1.9375,1.955357,1.892857,1.901786,0.446698,26306000
5/13/1993,1.910714,1.991071,1.910714,1.982143,0.465573,90431600
5/14/1993,1.973214,2,1.964286,1.982143,0.465573,29352400
5/17/1993,1.982143,2,1.964286,1.991071,0.46767,17410400
5/18/1993,1.982143,2.008929,1.964286,1.982143,0.465573,40868800
5/19/1993,1.955357,2.053571,1.946429,2.044643,0.480253,43192800
5/20/1993,2.044643,2.107143,2.044643,2.098214,0.492836,72632000
5/21/1993,2.098214,2.111607,2.026786,2.053571,0.48235,37049600
5/24/1993,2.026786,2.098214,2.026786,2.058036,0.483398,37578800
5/25/1993,2.026786,2.053571,1.991071,2.013393,0.472913,45180800
5/26/1993,2,2.0625,1.977679,2.0625,0.484447,30391200
5/27/1993,2.0625,2.089286,2.044643,2.053571,0.48235,49322000
5/28/1993,2.035714,2.053571,2.008929,2.022321,0.50449,45987200
6/1/1993,2.017857,2.0625,2.017857,2.035714,0.507831,33768000
6/2/1993,2.026786,2.080357,2,2.035714,0.507831,50120000
6/3/1993,2.035714,2.044643,2,2.013393,0.502262,39214000
6/4/1993,1.991071,2.008929,1.946429,1.959821,0.488898,53421200
6/7/1993,1.946429,1.955357,1.799107,1.8125,0.452148,120576400
6/8/1993,1.741071,1.785714,1.714286,1.767857,0.441011,155274000
6/9/1993,1.607143,1.629464,1.571429,1.580357,0.394237,294604800
6/10/1993,1.553571,1.598214,1.526786,1.589286,0.396464,138426400
6/11/1993,1.607143,1.616071,1.549107,1.5625,0.389782,60580800
6/14/1993,1.571429,1.598214,1.553571,1.59375,0.397578,62372800
6/15/1993,1.616071,1.616071,1.495536,1.5,0.374191,112081200
6/16/1993,1.508929,1.544643,1.482143,1.508929,0.376418,88270000
6/17/1993,1.517857,1.517857,1.446429,1.473214,0.367509,102359600
6/18/1993,1.486607,1.504464,1.419643,1.464286,0.365282,77823200
